"premise_id","nl","translation_a","translation_b","preference"
"P001","If Karen binge-watches a Netflix show, she will share it with Lisa.","all x.(NetflixShow(x) -> (BingeWatch(karen, x) -> ShareWith(karen, lisa)))","∀x ((NetflixShow(x) ∧ BingeWatch(karen, x)) → ShareWith(karen, x, lisa))",""
"P002","If a person at the mixer is a celebrity, then they are well paid.","∀x (At(x, mixer) ∧ Celebrity(x) → WellPaid(x))","all x.((Person(x) & At(x, theMixer) & Mixer(theMixer)) -> (Celebrity(x) -> WellPaid(x)))",""
"P003","All well-paid people at the mixer live in tax havens.","∀x (At(x, mixer) ∧ WellPaid(x) → LiveIn(x, taxHaven))","all x.((WellPaid(x) & Person(x) & At(x, theMixer)) -> exists y.(TaxHaven(y) & LiveIn(x, y)))",""
"P004","All of Zaha Hadid's design styles that Max adores have interesting geometries.","∀x (Adore(max, x) ∧ ZahaHadid(x) ∧ DesignStyle(x) → InterestingGeometry(x))","all x.((DesignStyleOf(x, zahaHadid) & Adore(max, x)) -> InterestingGeometry(x))",""
"P005","All of Kelly Wearstler's design styles that Max adores are evocative.","all x.((DesignStyleOf(x, kellyWearstler) & Adore(max, x)) -> Evocative(x))","∀x (Adore(max, x) ∧ KellyWearstler(x) ∧ DesignStyle(x) → Evocative(x))",""
"P006","All of Kelly Wearstler's design styles that Max adores are dreamy.","all x.((DesignStyleOf(x, kellyWearstler) & Adore(max, x)) -> Dreamy(x))","∀x (Adore(max, x) ∧ KellyWearstler(x) ∧ DesignStyle(x) → Dreamy(x))",""
"P007","Any city in Butte is not in St Pierre.","all x.((City(x) & In(x, butte)) -> -In(x, stPierre))","∀x ((City(x) ∧ City(butte) ∧ In(x, butte)) → ¬(In(x, pierre)))",""
"P008","The Working title ""The Secret Dude Society"" was used for Badults.","WorkingTitle(theSecretDudeSociety, badults) ∧ UsedFor(theSecretDudeSociety, badults)","(WorkingTitle(theSecretDudeSociety) & UsedFor(theSecretDudeSociety, badults))",""
"P009","In superhero movies, the good guys always win.","∀x ∀y (SuperheroMovie(x) ∧ In(y, x) ∧ GoodGuy(y) → Wins(y))","all x.(exists y.((SuperheroMovie(y) & In(x, y) & GoodGuy(x))) -> Win(x))",""
"P010","If a superhero movie is named after a character, that character is a good guy.","∀x ∀y (SuperheroMovie(x) ∧ NamedAfter(x, y) → GoodGuy(y))","all x.(SuperheroMovie(x) -> exists y.(NamedAfter(x, y) & GoodGuy(y)))",""
"P011","There are no mountain ranges in texas that have mines that have been donated.","∀x ∀y (Mine(x) ∧ Donated(x) ∧ In(x, y) ∧ MountainRange(y) → ¬In(y, texas))","all x.(exists y.(exists z.((MountainRange(x) & In(x, texas) & Have(x, y) & Mine(y) & Have(y, z) & Donated(z)))) -> -MountainRange(x))",""
"P012","All of the students with part-time jobs offered by the university currently work in the library.","all x.(exists y.((Student(x) & PartTimeJob(y) & OfferedBy(y, university))) -> WorkIn(x, library))","∀x (Student(x) ∧ Have(x, partTimeJob) ∧ OfferedBy(y, university) → WorkIn(x, library))",""
"P013","The winner of the 1992 du Maurier Classic was Steinhauer.","WinnerOf(steinhauer, duMaurierClassic, year1992)","WinnerOf(steinhauer, duMaurierClassic1992)",""
"P014","All animal lovers are nice to animals.","∀x (AnimalLover(x) → NiceTo(x, animal))","all x.(AnimalLover(x) -> all y.(Animal(y) -> NiceTo(x, y)))",""
"P015","Colorectal cancer is not both a bile duct cancer and with a low survival rate.","-((BileDuctCancer(colorectalCancer) & LowSurvivalRate(colorectalCancer)))","¬(BileDuctCancer(colorectalCancer) ∧ ComeWith(colorectalCancer, lowSurvivalRate))",""
"P016","All people on the leaderboard of the 1992 du Maurier Classic participated in the 1992 du Maurier Classic.","all x.((Person(x) & OnLeaderboardOf(x, duMaurierClassic1992)) -> ParticipatedIn(x, duMaurierClassic1992))","∀x (LeaderBoard(maurier, x) → Participate(maurier, x))",""
"P017","Yale university's endowment was valued at $42.3 billion.","ValuedAt(yaleUniversitysEndowment, 42point3billion)","ValuedAt(yaleUniversityEndowment, value423Billion)",""
"P018","If a man is taller than another man, the taller one can block the other's shooting.","all x.(Man(x) -> all y.((Man(y) & TallerThan(x, y)) -> CanBlockShooting(x, y)))","∀x ∀y (Man(x) ∧ Man(y) ∧ Taller(x, y) → CanBlock(x, y))",""
"P019","All movies in the Frozen series are family-friendly animated films.","all x.((Movie(x) & InSeries(x, frozenSeries)) -> FamilyFriendlyAnimatedFilm(x))","∀x (Film(x) ∧ InfrozenSeries(x) → FamilyFriendly(x) ∧ Animated(x))",""
"P020","If someone leaps straight into the air, they activate their leg muscles.","∀x (LeapStraightIntoAir(x) → Activate(x, legMuscle))","all x.((LeapStraightIntoAir(x) -> ActivateLegMuscles(x)))",""
"P021","No Russian Federation officials hold Taiwanese citizenship.","all x.(RussianFederationOfficial(x) -> -HoldCitizenship(x, taiwaneseCitizenship))","∀x (Russian(x) ∧ FederationOfficial(x) → ¬Have(x, taiwaneseCitizenship))",""
"P022","If person x is taller than person y, and person y is taller than person z, then x is taller than z","((TallerThan(x, y) & TallerThan(y, z)) -> TallerThan(x, z))","∀x ∀y ∀z ((Taller(x, y) ∧ Taller(y, z)) → Taller(x, z))",""
"P023","If an animal has legs, then it jumps.","∀x (∃y ∃z (¬(y=z) ∧ Leg(y) ∧ Leg(z) ∧ Have(x, y) ∧ Have(x, z)) → Jump(x))","all x.(Animal(x) -> (HasLegs(x) -> Jumps(x)))",""
"P024","The summer Olympic games is a sporting event.","SportingEvent(olympics)","SportingEvent(summerOlympicGames)",""
"P025","If a show gives out roses on TV, then the show is an episode of The Bachelor.","all x.(GivesOutRosesOnTV(x) -> EpisodeOfTheBachelor(x))","∀x (Show(x) ∧ GivenOutOnAt(rose, tV, x) → TheBachelor(x))",""
"P026","The state-of-the-art text summarization model is trained with machine learning algorithms.","∀x (TrainedWith(stateOfTheArtTextSummarizationModel, x) → MachineLearningAlgorithm(x))","all y.(TrainedWith(textSummarizationModel, y) -> MachineLearningAlgorithm(y))",""
"P027","People in this club who chaperone high school dances are not students who attend the school.","∀x (InThisClub(x) ∧ Chaperone(x, highSchoolDance) → ¬(Studen(x) ∧ AttendSchool(x)))","all x.(exists y.((Person(x) & In(x, theClub) & Chaperone(x, y) & HighSchoolDance(y))) -> -((Student(x) & Attend(x, theSchool))))",""
"P028","James doesn't work in the lab or have a part-time job offered by the university.","¬∃x (PartTimeJob(x) ∧ Have(james, x) ∧ OfferedBy(x, computerScienceDepartment)) ∧ ¬WorkIn(james, lab)","-((WorkIn(james, lab) | exists y.((PartTimeJob(y) & OfferedBy(y, university)) & HaveJob(james, y))))",""
"P029","All vehicle registration plates in Istanbul begin with the number 34.","all x.((VehicleRegistrationPlate(x) & In(x, istanbul)) -> BeginWithNumber34(x))","∀x (VehicleRegistrationPlateIn(x, istanbul) → BeginWith(x, num34))",""
"P030","Every shooter who can jump when shooting is a great shooter.","all x.((Shooter(x) & CanJumpWhenShooting(x)) -> GreatShooter(x))","∀x (JumpWhenShooting(x) → GreatShooter(x))",""
"P031","Basque is not related to any other language.","all y.(Language(y) -> -RelatedTo(x, y))","∀x (Language(x) → ¬Related(basque, x))",""
"P032","Plungers suck.","Suck(x)","∀x (Plunger(x) → Suck(x))",""
"P033","All employees who are in other countries work remotely from home.","all x.(exists y.((Employee(x) & In(x, y) & OtherCountry(y))) -> WorkRemotelyFrom(x, home))","∀x ((Employee(x) ∧ (¬In(x, homecountry))) → Work(x, home))",""
"P034","Mild flu comes with a low survival rate.","ComesWith(mildFlu, lowSurvivalRate)","∀x (MildFlu(x) → ¬ComeWith(x, lowSurvivalRate))",""
"P035","If the output of a natural language processing task is a text sequence, then it is a language generation task.","∀x (NaturalLanguageProcessingTasks(x) ∧ OutputSequence(x, text) → LanguageGenerationTask(x))","all x.(exists y.((NaturalLanguageProcessingTask(x) & OutputOf(x, y) & TextSequence(y))) -> LanguageGenerationTask(x))",""
"P036","If something can transport multiple passengers, then they are not one-seaters.","all x.(CanTransportMultiplePassengers(x) -> -OneSeater(x))","∀x (∃y ∃z (Passenger(y) ∧ Passenger(z) ∧ Transport(x, y) ∧ Transport(x, y) ∧ ¬(y=z)) → ¬OneSeater(x))",""
"P037","Yale University moved to New Haven in 1716.","MoveTo(yaleUniversity, newHaven)","MovedTo(yaleUniversity, newHaven) ∧ MovedIn(yaleUniversity, year1716)",""
"P038","If something is a deadly disease, then it comes with a low survival rate.","all x.(DeadlyDisease(x) -> ComesWithLowSurvivalRate(x))","∀x (DeadlyDiseases(x) → ComeWith(x, lowSurvivalRate))",""
"P039","Family History is written by Dani Shapiro.","WrittenBy(familyHistory, daniShapiro)","WrittenBy(family_History, dani_Shapiro)",""
"P040","Those living in single-parent families or having few resources available to them can prove economic hardship.","all x.((exists y.((SingleParentFamily(y) & LiveIn(x, y)) & CanProveEconomicHardship(x)) | HaveFewResources(x)))","∀x (LivingIn(x, singleParentFamily) ∨ AvailableTo(fewResources, x) → Prove(x, economicHardship))",""
"P041","All of the students taking a class with Professor David are taking the database course.","all x.(exists y.((Student(x) & Taking(x, y) & ClassWith(y, professorDavid))) -> Taking(x, databaseCourse))","∀x ((Student(x) ∧ InstructedBy(x, professorDavid)) → Take(x, databaseCourse))",""
