"story_id","nl","folio_gold_fol","siv_canonical_fol","siv_recall","siv_precision","siv_f1","bleu","exact_match"
"380","People in this club who chaperone high school dances are not students who attend the school.","∀x (InThisClub(x) ∧ Chaperone(x, highSchoolDance) → ¬(Studen(x) ∧ AttendSchool(x)))","all x.(exists y.((Person(x) & In(x, theClub) & Chaperone(x, y) & HighSchoolDance(y))) -> -((Student(x) & Attend(x, theSchool))))","0.0","1.0","0.0","0.2218112359016879","0.0"
"380","All people in this club who are inactive and disinterested members of their community chaperone high school dances.","∀x (InThisClub(x) ∧ (InActive(x) ∧ Disinterested(x) ∧ MemberOf(x, community)) → Chaperone(x, highSchoolDances))","all x.((Person(x) & In(x, theClub) & Inactive(x) & Disinterested(x) & MemberOf(x, theirCommunity) & Community(theirCommunity)) -> exists y.(HighSchoolDance(y) & Chaperone(x, y)))","0.5","1.0","0.6666666666666666","0.30844249984371963","0.0"
"426","Everyone who has lunch in the company building schedules meetings with their customers.","∀x ((Employee(x) ∧ HasLunch(x, company)) → Schedule(x, meeting, customers))","all x.(exists y.((HasLunchIn(x, y) & CompanyBuilding(y))) -> exists z.(exists w.((Meeting(z) & Customer(w))) & Schedule(x, z)))","0.3333333333333333","1.0","0.5","0.10488689250348157","0.0"
"426","If an employee has lunch at home, they are working remotely from home.","∀x ((Employee(x) ∧ HasLunch(x, home)) → Work(x, home))","(exists x.(Employee(x) & HasLunchAt(x, home)) -> exists x.(Employee(x) & WorkRemotelyFrom(x, home)))","0.0","","","0.42504319447263067","0.0"
"426","All employees who are in other countries work remotely from home.","∀x ((Employee(x) ∧ (¬In(x, homecountry))) → Work(x, home))","all x.(exists y.((Employee(x) & In(x, y) & OtherCountry(y))) -> WorkRemotelyFrom(x, home))","0.0","1.0","0.0","0.45578757886715615","0.0"
"426","No managers work remotely from home.","∀x (Manager(x) → ¬Work(x, home))","all x.(Manager(x) -> -WorkRemotelyFrom(x, home))","0.0","1.0","0.0","0.6926989774939868","0.0"
"198","Monkeypox virus can occur in certain animals.","∃x (Animal(x) ∧ OccurIn(monkeypoxVirus, x))","exists x.(Animal(x) & OccurIn(monkeypoxVirus, x))","1.0","","","0.8415266720024048","0.0"
"198","Humans are mammals.","∀x (Human(x) → Mammal(x))","all x.(Human(x) -> Mammal(x))","1.0","1.0","1.0","0.829288386658654","0.0"
"198","Mammals are animals.","∀x (Mammal(x) → Animal(x))","all x.(Mammal(x) -> Animal(x))","1.0","1.0","1.0","0.829288386658654","0.0"
"198","Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness.","∃x (SymptonOf(x, monkeypoxVirus) ∧ (Fever(x) ∨ Headache(x) ∨ MusclePain(x) ∨ Tired(x)))","(SymptomOf(fever, monkeypox) & SymptomOf(headache, monkeypox) & SymptomOf(musclePains, monkeypox) & SymptomOf(tiredness, monkeypox))","0.0","1.0","0.0","0.04317900023606588","0.0"
"0","There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.","∀x (WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ GouldsWildTurkey(x) ∨ MerriamsWildTurkey(x) ∨ RiograndeWildTurkey(x) ∨ OcellatedWildTurkey(x)))","(TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))","0.0","1.0","0.0","0.02912973268471527","0.0"
"0","Tom is not an Eastern wild turkey.","¬(EasternWildTurkey(tom))","-EasternWildTurkey(tom)","1.0","1.0","1.0","0.43472087194499137","0.0"
"0","Tom is not an Osceola wild turkey.","¬(OsceolaWildTurkey(tom))","-OsceolaWildTurkey(tom)","1.0","1.0","1.0","0.43472087194499137","0.0"
"0","Tom is not a Gould's wild turkey.","¬(GouldsWildTurkey(tom))","-GouldsWildTurkey(tom)","1.0","1.0","1.0","0.43472087194499137","0.0"
"0","Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.","¬(MerriamsWildTurkey(tom) ∨ RiograndeWildTurkey(tom))","(-MerriamsWildTurkey(tom) & -RioGrandeWildTurkey(tom))","1.0","1.0","1.0","0.4124914892312111","0.0"
"0","Tom is a wild turkey.","WildTurkey(tom)","WildTurkey(tom)","1.0","1.0","1.0","1.0000000000000004","1.0"
"20","A Japanese game company created the game the Legend of Zelda.","Game(theLegendofZelda) ∧ ∃x (Japanese(x) ∧ VideoGameCompany(x) ∧ Created(x, theLegendofZelda))","exists x.(JapaneseGameCompany(x) & Created(x, legendOfZelda))","0.5","","","0.3279074903447988","0.0"
"20","All games on the Top 10 list are made by Japanese game companies.","∀x ∀y ((Game(x) ∧ InTop10(x) ∧ Created(y,x)) → Japanese(y))","all x.((Game(x) & OnTop10List(x)) -> exists y.(JapaneseGameCompany(y) & MadeBy(x, y)))","0.5","1.0","0.6666666666666666","0.39558801330978693","0.0"
"20","The Legend of Zelda sold more than one million copies.","∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(theLegendofZelda,y))","SoldMoreThanOneMillionCopies(theLegendOfZelda)","0.0","1.0","0.0","0.02719665272174911","0.0"
"282","All squares are four-sided.","∀x (Square(x) → FourSided(x))","all x.(Square(x) -> FourSided(x))","1.0","1.0","1.0","0.829288386658654","0.0"
"282","All four-sided things are shapes.","∀x (FourSided(x) → Shape(x))","all x.(FourSided(x) -> Shape(x))","1.0","1.0","1.0","0.829288386658654","0.0"
"471","All rabbits that can be spotted near the campus are cute.","∀x (Rabbit(x) ∧ CanBeSpottedNear(x, campus) → Cute(x))","all x.((Rabbit(x) & SpottedNear(x, theCampus)) -> Cute(x))","0.0","1.0","0.0","0.5603649527070331","0.0"
"471","Some turtles can be spotted near the campus.","∃x (Turtle(x) ∧ CanBeSpottedNear(x, campus))","exists x.(Turtle(x) & SpottedNear(x, theCampus))","0.5","","","0.4500702860539165","0.0"
"471","All the squirrels that can be spotted near the campus are skittish.","∀x (Squirrel(x) ∧ CanBeSpottedNear(x, campus) → Skittish(x))","all x.((Squirrel(x) & CanBeSpottedNear(x, theCampus)) -> Skittish(x))","0.0","1.0","0.0","0.6883925026461181","0.0"
"471","Rockie can be spotted near the campus, and it is calm.","CanBeSpottedNear(rockie, campus) ∧ Calm(rockie)","(SpottedNear(rockie, campus) & Calm(rockie))","0.3333333333333333","1.0","0.5","0.7446697386219444","0.0"
"184","""Stranger Things"" is a popular Netflix show.","NetflixShow(strangerThings) ∧ Popular(strangerThings)","PopularNetflixShow(strangerThings)","0.0","1.0","0.0","0.17747405280050266","0.0"
"184","If a Netflix show is popular, Karen will binge-watch it.","∀x ((NetflixShow(x) ∧ Popular(x)) → BingeWatch(karen, x))","all x.((NetflixShow(x) & Popular(x)) -> BingeWatch(karen, x))","1.0","1.0","1.0","0.8990026845785034","0.0"
"184","If and only if Karen binge-watches a Netflix show, she will download it.","∀x ((NetflixShow(x) ∧ BingeWatch(karen, x)) ↔ Download(karen, x))","(BingeWatch(karen) <-> Download(karen))","0.0","1.0","0.0","0.2974309561779646","0.0"
"184","Karen does not download ""Black Mirror.""","¬Download(karen, blackMirror)","-Download(karen, blackMirror)","1.0","1.0","1.0","1.0000000000000004","1.0"
"184","""Black Mirror"" is a Netflix show.","NetflixShow(blackMirror)","NetflixShow(blackMirror)","1.0","1.0","1.0","1.0000000000000004","1.0"
"184","If Karen binge-watches a Netflix show, she will share it with Lisa.","∀x ((NetflixShow(x) ∧ BingeWatch(karen, x)) → ShareWith(karen, x, lisa))","(exists x.(NetflixShow(x) & BingeWatch(karen)) -> exists x.(NetflixShow(x) & ShareWith(karen, lisa)))","0.0","","","0.4541511788498719","0.0"
"232","Beijing is the capital of the People's Republic of China.","CapitalOf(beijing, peoplesRepublicOfChina)","CapitalOf(beijing, peoplesRepublicOfChina)","1.0","1.0","1.0","1.0000000000000004","1.0"
"232","Beijing is the capital city of the world's most populous nation.","∃x (CapitalOf(beijing, x) → WorldsMostPopulousNation(x))","exists x.(MostPopulousNation(x) & CapitalCityOf(beijing, x))","0.5","","","0.3850322886878711","0.0"
"232","Beijing is located in Northern China.","LocatedIn(beijing, northernChina)","LocatedIn(beijing, northernChina)","1.0","1.0","1.0","1.0000000000000004","1.0"
"232","Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.","Hosted(beijing, 2008SummerOlympics) ∧ Hosted(beijing, 2008SummerParalympicGames)","(Hosted(beijing, summerOlympics2008) & Hosted(beijing, summerParalympics2008))","0.0","1.0","0.0","0.5078431769269645","0.0"
"232","Many of Beijing's 91 universities consistently rank among the best universities in the world.","∃x (University(x) ∧ InBeijing(x) ∧ ConsistentlyRankAmongTheBestIn(x, theWorld))","exists x.(UniversityInBeijing(x) & RankAmongBest(x))","0.5","","","0.21111871760808984","0.0"
"452","All aliens are extraterrestrials.","∀x (Alien(x) → Extraterrestrial(x))","all x.(Alien(x) -> Extraterrestrial(x))","1.0","1.0","1.0","0.829288386658654","0.0"
"452","If someone is from Mars, then they are an alien.","∀x (From(x, mars) → Alien(x))","all x.((FromMars(x) -> Alien(x)))","0.0","1.0","0.0","0.5001643305337219","0.0"
"452","No extraterrestrials are human.","∀x (Extraterrestrial(x) → ¬Human(x))","all x.(Extraterrestrial(x) -> -Human(x))","1.0","1.0","1.0","0.8415266720024048","0.0"
"452","All highly intelligent beings from Earth are humans.","∀x (HighlyIntelligentBeing(x) ∧ From(x, earth) → Human(x))","all x.((HighlyIntelligent(x) & Being(x) & From(x, earth)) -> Human(x))","0.0","1.0","0.0","0.5425411500681427","0.0"
"452","Marvin is a highly intelligent being.","HighlyIntelligentBeing(marvin)","HighlyIntelligentBeing(marvin)","1.0","1.0","1.0","1.0000000000000004","1.0"
"452","If Marvin is not from Earth, then Marvin is an extraterrestrial.","¬From(marvin, earth) → Extraterrestrial(marvin)","(-From(marvin, earth) -> Extraterrestrial(marvin))","1.0","","","0.8574039191604418","0.0"
"340","Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.","∀x (At(x, mixer) → (GrandSlam(x) ∧ Champion(x)) ∨ (OscarNominated(x) ∧ Actor(x)))","all x.(At(x, theMixer) -> (GrandSlamChampion(x) | OscarNominatedActor(x)))","0.0","1.0","0.0","0.32194428656876584","0.0"
"340","All professional tennis players at the mixer are athletes.","∀x (At(x, mixer) ∧ Professional(x) ∧ TennisPlayer(x) → Athlete(x))","all x.((ProfessionalTennisPlayer(x) & At(x, theMixer)) -> Athlete(x))","0.0","1.0","0.0","0.48938227328838485","0.0"
"340","If a person at the mixer is a celebrity, then they are well paid.","∀x (At(x, mixer) ∧ Celebrity(x) → WellPaid(x))","all x.((Person(x) & At(x, theMixer) & Mixer(theMixer)) -> (Celebrity(x) -> WellPaid(x)))","0.0","1.0","0.0","0.3147597773147082","0.0"
"340","If a person at the mixer is an athlete, then they are famous.","∀x (At(x, mixer) ∧ Athlete(x) → Famous(x))","all x.((Person(x) & At(x, theMixer)) -> (Athlete(x) -> Famous(x)))","0.0","1.0","0.0","0.3993766570716197","0.0"
