"story_id","status","nl","folio_gold_fol","siv_extraction_view","siv_tests","siv_translation","folio_gold_score","siv_translation_score"
"380","evaluated","People in this club either perform in school talent shows often or are inactive and disinterested community members.","∀x (InThisClub(x) → PerformOftenIn(x, schoolTalentShow) ⊕ (InActive(x) ∧ Disinterested(x) ∧ MemberOf(x, community)))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.((Person(x) & In(x, theClub)) -> (exists y.(SchoolTalentShow(y) & (PerformIn(x, y) & Often(x))) | (Inactive(x) & DisinterestedCommunityMember(x))))","[positive|entailed] all v0.((Person(v0) & In(v0,theClub)) -> (exists v1.(SchoolTalentShow(v1) & (PerformIn(v0,v1) & Often(v0))) | (Inactive(v0) & DisinterestedCommunityMember(v0))))
[contrastive|not_entailed] all x.((Person(x) & In(x, theClub)) -> -((exists y.(SchoolTalentShow(y) & (PerformIn(x, y) & Often(x))) | (Inactive(x) & DisinterestedCommunityMember(x)))))","all x.((Person(x) & In(x, theClub)) -> (exists y.(SchoolTalentShow(y) & (PerformIn(x, y) & Often(x))) | (Inactive(x) & DisinterestedCommunityMember(x))))","PARSE_ERROR (normalized: all x (InThisClub(x) -> PerformOftenIn(x, schoolTalentShow) (InActive(x) & Disinterested(x) & MemberOf(x, community))))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"380","evaluated","People in this club who chaperone high school dances are not students who attend the school.","∀x (InThisClub(x) ∧ Chaperone(x, highSchoolDance) → ¬(Studen(x) ∧ AttendSchool(x)))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.(exists y.((Person(x) & In(x, theClub) & Chaperone(x, y) & HighSchoolDance(y))) -> -((Student(x) & Attend(x, theSchool))))","[positive|entailed] all v0.(exists v1.((Person(v0) & In(v0,theClub) & Chaperone(v0,v1) & HighSchoolDance(v1))) -> -((Student(v0) & Attend(v0,theSchool))))
[contrastive|not_entailed] all x.(exists y.((Person(x) & In(x, theClub) & Chaperone(x, y) & HighSchoolDance(y))) -> -(-((Student(x) & Attend(x, theSchool)))))","all x.(exists y.((Person(x) & In(x, theClub) & Chaperone(x, y) & HighSchoolDance(y))) -> -((Student(x) & Attend(x, theSchool))))","recall=0.00 precision=1.00 f1=0.00 (P:0/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"380","evaluated","All people in this club who are inactive and disinterested members of their community chaperone high school dances.","∀x (InThisClub(x) ∧ (InActive(x) ∧ Disinterested(x) ∧ MemberOf(x, community)) → Chaperone(x, highSchoolDances))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.((Person(x) & In(x, theClub) & Inactive(x) & Disinterested(x) & MemberOf(x, theirCommunity) & Community(theirCommunity)) -> exists y.(HighSchoolDance(y) & Chaperone(x, y)))","[positive|entailed] all v0.((Person(v0) & In(v0,theClub) & Inactive(v0) & Disinterested(v0) & MemberOf(v0,theirCommunity) & Community(theirCommunity)) -> exists v1.(HighSchoolDance(v1) & Chaperone(v0,v1)))
[positive|entailed] all v0.((Person(v0) & In(v0,theClub) & Inactive(v0) & Disinterested(v0) & MemberOf(v0,theirCommunity) & Community(theirCommunity)) -> exists v1.(HighSchoolDance(v1)))
[contrastive|not_entailed] all x.((Person(x) & In(x, theClub) & Inactive(x) & Disinterested(x) & MemberOf(x, theirCommunity) & Community(theirCommunity)) -> -(exists y.(HighSchoolDance(y) & Chaperone(x, y))))","all x.((Person(x) & In(x, theClub) & Inactive(x) & Disinterested(x) & MemberOf(x, theirCommunity) & Community(theirCommunity)) -> exists y.(HighSchoolDance(y) & Chaperone(x, y)))","recall=0.50 precision=1.00 f1=0.67 (P:1/2 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:2/2 C:1/1)"
"380","evaluated","All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school.","∀x (InThisClub(x) ∧ (YoungChildren(x) ⊕ Teenager(x)) ∧ WishToFurther(x, academicCareer)) → Studen(x) ∧ AttendSchool(x))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.(exists y.((YoungChild(x) & Teenager(x) & In(x, theClub) & WishToFurther(x, y) & AcademicCareer(y) & EducationalOpportunity(y))) -> (Student(x) & Attend(x, theSchool)))","[positive|entailed] all v0.(exists v1.((YoungChild(v0) & Teenager(v0) & In(v0,theClub) & WishToFurther(v0,v1) & AcademicCareer(v1) & EducationalOpportunity(v1))) -> (Student(v0) & Attend(v0,theSchool)))
[positive|entailed] all v0.(exists v1.((YoungChild(v0) & Teenager(v0) & In(v0,theClub) & WishToFurther(v0,v1) & AcademicCareer(v1) & EducationalOpportunity(v1))) -> Student(v0))
[positive|entailed] all v0.(exists v1.((YoungChild(v0) & Teenager(v0) & In(v0,theClub) & WishToFurther(v0,v1) & AcademicCareer(v1) & EducationalOpportunity(v1))) -> Attend(v0,theSchool))
[contrastive|not_entailed] all x.(exists y.((YoungChild(x) & Teenager(x) & In(x, theClub) & WishToFurther(x, y) & AcademicCareer(y) & EducationalOpportunity(y))) -> (-Student(x) & Attend(x, theSchool)))
[contrastive|not_entailed] all x.(exists y.((YoungChild(x) & Teenager(x) & In(x, theClub) & WishToFurther(x, y) & AcademicCareer(y) & EducationalOpportunity(y))) -> (Student(x) & -Attend(x, theSchool)))
[contrastive|not_entailed] all x.(exists y.((YoungChild(x) & Teenager(x) & In(x, theClub) & WishToFurther(x, y) & AcademicCareer(y) & EducationalOpportunity(y))) -> -((Student(x) & Attend(x, theSchool))))","all x.(exists y.((YoungChild(x) & Teenager(x) & In(x, theClub) & WishToFurther(x, y) & AcademicCareer(y) & EducationalOpportunity(y))) -> (Student(x) & Attend(x, theSchool)))","PARSE_ERROR (normalized: all x (InThisClub(x) & (YoungChildren(x) Teenager(x)) & WishToFurther(x, academicCareer)) -> Studen(x) & AttendSchool(x)))","recall=1.00 precision=1.00 f1=1.00 (P:3/3 C:3/3)"
"426","evaluated","Everyone who has lunch in the company building schedules meetings with their customers.","∀x ((Employee(x) ∧ HasLunch(x, company)) → Schedule(x, meeting, customers))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.(exists y.((HasLunchIn(x, y) & CompanyBuilding(y))) -> exists z.(exists w.((Meeting(z) & Customer(w))) & Schedule(x, z)))","[positive|entailed] all v0.(exists v1.((HasLunchIn(v0,v1) & CompanyBuilding(v1))) -> exists v2.(exists v3.((Meeting(v2) & Customer(v3))) & Schedule(v0,v2)))
[positive|entailed] all v0.(exists v1.((HasLunchIn(v0,v1) & CompanyBuilding(v1))) -> exists v2.(Meeting(v2)))
[positive|unknown] all v0.(exists v1.((HasLunchIn(v0,v1) & CompanyBuilding(v1))) -> exists v2.(Customer(v3)))
[contrastive|not_entailed] all x.(exists y.((HasLunchIn(x, y) & CompanyBuilding(y))) -> -(exists z.(exists w.((Meeting(z) & Customer(w))) & Schedule(x, z))))","all x.(exists y.((HasLunchIn(x, y) & CompanyBuilding(y))) -> exists z.(exists w.((Meeting(z) & Customer(w))) & Schedule(x, z)))","recall=0.33 precision=1.00 f1=0.50 (P:1/3 C:1/1)","recall=0.67 precision=1.00 f1=0.80 (P:2/3 C:1/1)"
"426","evaluated","Employees have lunch either in the company building or at home.","∀x (Employee(x) → (HasLunch(x, company) ⊕ HasLunch(x, home)))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_universal
canonical_fol: all x.(Employee(x) -> (HaveLunchIn(x, companyBuilding) | HaveLunchIn(x, home)))","[positive|entailed] all v0.(Employee(v0) -> (HaveLunchIn(v0,companyBuilding) | HaveLunchIn(v0,home)))
[contrastive|not_entailed] all x.(Employee(x) -> -((HaveLunchIn(x, companyBuilding) | HaveLunchIn(x, home))))","all x.(Employee(x) -> (HaveLunchIn(x, companyBuilding) | HaveLunchIn(x, home)))","PARSE_ERROR (normalized: all x (Employee(x) -> (HasLunch(x, company) HasLunch(x, home))))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"426","evaluated","If an employee has lunch at home, they are working remotely from home.","∀x ((Employee(x) ∧ HasLunch(x, home)) → Work(x, home))","[reconstructed from report — not raw extraction]
top_formula_case: connective
structural_class: other
canonical_fol: (exists x.(Employee(x) & HasLunchAt(x, home)) -> exists x.(Employee(x) & WorkRemotelyFrom(x, home)))","[positive|entailed] (exists v0.(Employee(v0) & HasLunchAt(v0,home)) -> exists v1.(Employee(v1) & WorkRemotelyFrom(v1,home)))
[contrastive|no_contrastives] ","(exists x.(Employee(x) & HasLunchAt(x, home)) -> exists x.(Employee(x) & WorkRemotelyFrom(x, home)))","recall=0.00 precision=n/a f1=n/a (P:0/1 C:0/0)","recall=1.00 precision=n/a f1=n/a (P:1/1 C:0/0)"
"426","evaluated","All employees who are in other countries work remotely from home.","∀x ((Employee(x) ∧ (¬In(x, homecountry))) → Work(x, home))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.(exists y.((Employee(x) & In(x, y) & OtherCountry(y))) -> WorkRemotelyFrom(x, home))","[positive|entailed] all v0.(exists v1.((Employee(v0) & In(v0,v1) & OtherCountry(v1))) -> WorkRemotelyFrom(v0,home))
[contrastive|not_entailed] all x.(exists y.((Employee(x) & In(x, y) & OtherCountry(y))) -> -WorkRemotelyFrom(x, home))","all x.(exists y.((Employee(x) & In(x, y) & OtherCountry(y))) -> WorkRemotelyFrom(x, home))","recall=0.00 precision=1.00 f1=0.00 (P:0/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"426","evaluated","No managers work remotely from home.","∀x (Manager(x) → ¬Work(x, home))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_universal
canonical_fol: all x.(Manager(x) -> -WorkRemotelyFrom(x, home))","[positive|entailed] all v0.(Manager(v0) -> -WorkRemotelyFrom(v0,home))
[contrastive|not_entailed] all x.(Manager(x) -> WorkRemotelyFrom(x, home))","all x.(Manager(x) -> -WorkRemotelyFrom(x, home))","recall=0.00 precision=1.00 f1=0.00 (P:0/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"426","evaluated","James will appear in the company today if and only if he is a manager.","¬(Manager(james) ⊕ AppearIn(james, company))","[reconstructed from report — not raw extraction]
top_formula_case: connective
structural_class: ground_instance
canonical_fol: (AppearIn(james, theCompany) <-> Manager(james))","[positive|entailed] (AppearIn(james,theCompany) <-> Manager(james))
[contrastive|not_entailed] (-AppearIn(james, theCompany) <-> Manager(james))
[contrastive|not_entailed] (AppearIn(james, theCompany) <-> -Manager(james))","(AppearIn(james, theCompany) <-> Manager(james))","PARSE_ERROR (normalized: -(Manager(james) AppearIn(james, company)))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:2/2)"
