"story_id","nl","folio_gold_fol","siv_canonical_fol","top_formula_case","structural_class","recall","category","subcategory","error_direction","overlap_ratio","failed_tests","notes"
"380","People in this club either perform in school talent shows often or are inactive and disinterested community members.","∀x (InThisClub(x) → PerformOftenIn(x, schoolTalentShow) ⊕ (InActive(x) ∧ Disinterested(x) ∧ MemberOf(x, community)))","all x.((Person(x) & In(x, theClub)) -> (exists y.(SchoolTalentShow(y) & (PerformIn(x, y) & Often(x))) | (Inactive(x) & DisinterestedCommunityMember(x))))","quantification","compound_restrictor_universal","","parse_error","","","","","normalized: all x (InThisClub(x) -> PerformOftenIn(x, schoolTalentShow) (InActive(x) & Disinterested(x) & MemberOf(x, community)))"
"380","People in this club who chaperone high school dances are not students who attend the school.","∀x (InThisClub(x) ∧ Chaperone(x, highSchoolDance) → ¬(Studen(x) ∧ AttendSchool(x)))","all x.(exists y.((Person(x) & In(x, theClub) & Chaperone(x, y) & HighSchoolDance(y))) -> -((Student(x) & Attend(x, theSchool))))","quantification","compound_restrictor_universal","0.0","vocab_divergence_total","","","0.222","","only_siv_preds=['Attend', 'HighSchoolDance', 'In', 'Person']; only_gold_preds=['AttendSchool', 'InThisClub']; stem_matches=[('Student', 'Studen')]"
"380","All people in this club who are inactive and disinterested members of their community chaperone high school dances.","∀x (InThisClub(x) ∧ (InActive(x) ∧ Disinterested(x) ∧ MemberOf(x, community)) → Chaperone(x, highSchoolDances))","all x.((Person(x) & In(x, theClub) & Inactive(x) & Disinterested(x) & MemberOf(x, theirCommunity) & Community(theirCommunity)) -> exists y.(HighSchoolDance(y) & Chaperone(x, y)))","quantification","compound_restrictor_universal","0.5","vocab_divergence_partial","","","0.4","","only_siv_preds=['Community', 'HighSchoolDance', 'In', 'Person']; only_gold_preds=['InThisClub']; stem_matches=[('Inactive', 'InActive')]"
"380","All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school.","∀x (InThisClub(x) ∧ (YoungChildren(x) ⊕ Teenager(x)) ∧ WishToFurther(x, academicCareer)) → Studen(x) ∧ AttendSchool(x))","all x.(exists y.((YoungChild(x) & Teenager(x) & In(x, theClub) & WishToFurther(x, y) & AcademicCareer(y) & EducationalOpportunity(y))) -> (Student(x) & Attend(x, theSchool)))","quantification","compound_restrictor_universal","","parse_error","","","","","normalized: all x (InThisClub(x) & (YoungChildren(x) Teenager(x)) & WishToFurther(x, academicCareer)) -> Studen(x) & AttendSchool(x))"
"426","Everyone who has lunch in the company building schedules meetings with their customers.","∀x ((Employee(x) ∧ HasLunch(x, company)) → Schedule(x, meeting, customers))","all x.(exists y.((HasLunchIn(x, y) & CompanyBuilding(y))) -> exists z.(exists w.((Meeting(z) & Customer(w))) & Schedule(x, z)))","quantification","compound_restrictor_universal","0.3333333333333333","vocab_divergence_partial","","","0.286","","only_siv_preds=['CompanyBuilding', 'Customer', 'Meeting']; only_gold_preds=['Employee']; stem_matches=[('HasLunchIn', 'HasLunch')]"
"426","Employees have lunch either in the company building or at home.","∀x (Employee(x) → (HasLunch(x, company) ⊕ HasLunch(x, home)))","all x.(Employee(x) -> (HaveLunchIn(x, companyBuilding) | HaveLunchIn(x, home)))","quantification","simple_universal","","parse_error","","","","","normalized: all x (Employee(x) -> (HasLunch(x, company) HasLunch(x, home)))"
"426","If an employee has lunch at home, they are working remotely from home.","∀x ((Employee(x) ∧ HasLunch(x, home)) → Work(x, home))","(exists x.(Employee(x) & HasLunchAt(x, home)) -> exists x.(Employee(x) & WorkRemotelyFrom(x, home)))","connective","other","0.0","vocab_divergence_partial","","","0.4","","only_siv_preds=['WorkRemotelyFrom']; only_gold_preds=['Work']; stem_matches=[('HasLunchAt', 'HasLunch')]"
"426","All employees who are in other countries work remotely from home.","∀x ((Employee(x) ∧ (¬In(x, homecountry))) → Work(x, home))","all x.(exists y.((Employee(x) & In(x, y) & OtherCountry(y))) -> WorkRemotelyFrom(x, home))","quantification","compound_restrictor_universal","0.0","vocab_divergence_partial","","","0.4","","only_siv_preds=['OtherCountry', 'WorkRemotelyFrom']; only_gold_preds=['Work']"
"426","No managers work remotely from home.","∀x (Manager(x) → ¬Work(x, home))","all x.(Manager(x) -> -WorkRemotelyFrom(x, home))","quantification","simple_universal","0.0","vocab_divergence_partial","","","0.333","","only_siv_preds=['WorkRemotelyFrom']; only_gold_preds=['Work']"
"426","James will appear in the company today if and only if he is a manager.","¬(Manager(james) ⊕ AppearIn(james, company))","(AppearIn(james, theCompany) <-> Manager(james))","connective","ground_instance","","parse_error","","","","","normalized: -(Manager(james) AppearIn(james, company))"
