premise_id,stratum,nl,siv_canonical_fol,gold_fol_normalized,tentative_category,secondary_categories,siv_only_preds,gold_only_preds,siv_only_constants,gold_only_constants,predicate_count_diff,arity_mismatches,final_category,more_principled,linguistic_argument,notes
P0302,S2_universal_simple,Pre-recorded content is a copyright violation.,CopyrightViolation(x),all x (Prerecorded(x) -> CopyrightViolation(x)),quantifier_scope_diff,connective_diff,,Prerecorded/1,,,-1,{},,,,
P0096,S2_universal_simple,All Nobel physics laureates are full-time scientists.,all x.(NobelPhysicsLaureate(x) -> FullTimeScientist(x)),all x (NobelPhysicsLaureate(x) -> FullTimeScientist(x)),vocabulary_only,,,,,,0,{},,,,
P0786,S1_atomic,TOra is under the GNU General Public License.,"UnderLicense(tOra, gnuGeneralPublicLicense)",UnderGNULicense(tora),vocabulary_only,,UnderLicense/2,UnderGNULicense/1,gnuGeneralPublicLicense; tOra,tora,0,{},,,,
P0719,S2_universal_simple,Everything that requires talent requires practice.,"all x.(Requires(x, talent) -> Requires(x, practice))","all x (Require(x, talent) -> Require(x, practice))",vocabulary_only,,Requires/2,Require/2,,,0,{},,,,
P0663,S1_atomic,Tower A is neither a building in New Haven nor a skyscraper in Manhattan.,"-((BuildingIn(towerA, newHaven) | SkyscraperIn(towerA, manhattan)))",Buildings(towerA) & (-InNewHaven(towerA)) & (-ManhattanSkyscraper(towerA)),restrictor_structure_diff,,BuildingIn/2; SkyscraperIn/2,Buildings/1; InNewHaven/1; ManhattanSkyscraper/1,manhattan; newHaven,,-1,{},,,,
P0394,S2_universal_simple,All wage earners are human.,all x.(WageEarner(x) -> Human(x)),all x (WageEarner(x) -> Human(x)),vocabulary_only,,,,,,0,{},,,,
P0282,S2_universal_simple,All humans are capable of abstract thoughts.,all x.(Human(x) -> CapableOfAbstractThoughts(x)),"all x (Human(x) -> CapableOf(x, abstractThought))",vocabulary_only,,CapableOfAbstractThoughts/1,CapableOf/2,,abstractThought,0,{},,,,
P1621,S2_universal_simple,A neuroimaging technique is either an invasive neuroimaging technique or a noninvasive neuroimaging technique.,exists x.(NeuroimagingTechnique(x) & (InvasiveNeuroimagingTechnique(x) | NoninvasiveNeuroimagingTechnique(x))),all x (NeuroimagingTechnique(x) -> (((Invasive(x) & -(Noninvasive(x))) | (-(Invasive(x)) & Noninvasive(x))))),quantifier_scope_diff,connective_diff,InvasiveNeuroimagingTechnique/1; NoninvasiveNeuroimagingTechnique/1,Invasive/1; Noninvasive/1,,,0,{},,,,
P0249,S2_universal_simple,All sci-fi movies are movies.,all x.(SciFiMovie(x) -> Movie(x)),all x (ScifiMovie(x) -> Movie(x)),vocabulary_only,,SciFiMovie/1,ScifiMovie/1,,,0,{},,,,
P1261,S2_universal_simple,Rhos Aelwyd F.C. is a Welsh football club.,WelshFootballClub(rhosAelwydFc),all x (Rhosaelwydfc(x) -> FootballClub(x) & Welsh(x)),quantifier_scope_diff,connective_diff,WelshFootballClub/1,FootballClub/1; Rhosaelwydfc/1; Welsh/1,rhosAelwydFc,,-2,{},,,,
P0118,S2_universal_simple,All certified public accountants have good business sense.,all x.(CertifiedPublicAccountant(x) -> GoodBusinessSense(x)),"all x (CertifiedPublicAccoutant(x) -> Have(x, goodBusinessSense))",vocabulary_only,,CertifiedPublicAccountant/1; GoodBusinessSense/1,CertifiedPublicAccoutant/1; Have/2,,goodBusinessSense,0,{},,,,
P0111,S2_universal_simple,Everyone at the business conference is either an investor or an entrepreneur.,"all x.(At(x, businessConference) -> (Investor(x) | Entrepreneur(x)))","all x (At(x, businessConference) -> (((Investor(x) & -(Entrepreneur(x))) | (-(Investor(x)) & Entrepreneur(x)))))",vocabulary_only,,,,,,0,{},,,,
