"premise_id","story_id","nl","translation_a_source","translation_b_source","category","subcategory","selection_reason","siv_recall","bleu","overlap_ratio"
"P001","184","If Karen binge-watches a Netflix show, she will share it with Lisa.","siv_canonical","folio_gold","entity_flattening","ShareWith: SIV arity=2, GOLD arity=3","structural_catch (entity_flattening)","0.0","0.9615","1.0"
"P002","340","If a person at the mixer is a celebrity, then they are well paid.","folio_gold","siv_canonical","restrictor_collapse","SIV=3 vs GOLD=2 conjuncts","structural_catch (restrictor_collapse)","0.0","0.9500","0.6"
"P003","340","All well-paid people at the mixer live in tax havens.","folio_gold","siv_canonical","restrictor_collapse","SIV=3 vs GOLD=2 conjuncts","structural_catch (restrictor_collapse)","0.5","0.9091","0.6"
"P004","350","All of Zaha Hadid's design styles that Max adores have interesting geometries.","folio_gold","siv_canonical","restrictor_collapse","SIV=2 vs GOLD=3 conjuncts","structural_catch (restrictor_collapse)","0.0","0.9200","0.6"
"P005","350","All of Kelly Wearstler's design styles that Max adores are evocative.","siv_canonical","folio_gold","restrictor_collapse","SIV=2 vs GOLD=3 conjuncts","structural_catch (restrictor_collapse)","0.0","0.9200","0.6"
"P006","350","All of Kelly Wearstler's design styles that Max adores are dreamy.","siv_canonical","folio_gold","restrictor_collapse","SIV=2 vs GOLD=3 conjuncts","structural_catch (restrictor_collapse)","0.0","0.9200","0.6"
"P007","2","Any city in Butte is not in St Pierre.","siv_canonical","folio_gold","restrictor_collapse","SIV=2 vs GOLD=3 conjuncts","structural_catch (restrictor_collapse)","0.0","0.9688","1.0"
"P008","120","The Working title ""The Secret Dude Society"" was used for Badults.","folio_gold","siv_canonical","entity_flattening","WorkingTitle: SIV arity=1, GOLD arity=2","structural_catch (entity_flattening)","0.3333333333333333","1.0000","1.0"
"P009","245","In superhero movies, the good guys always win.","folio_gold","siv_canonical","restrictor_collapse","SIV=1 vs GOLD=3 conjuncts","structural_catch (restrictor_collapse)","0.0","0.9630","0.8"
"P010","245","If a superhero movie is named after a character, that character is a good guy.","folio_gold","siv_canonical","restrictor_collapse","SIV=1 vs GOLD=2 conjuncts","structural_catch (restrictor_collapse)","0.0","1.0000","1.0"
"P011","124","There are no mountain ranges in texas that have mines that have been donated.","folio_gold","siv_canonical","restrictor_collapse","SIV=1 vs GOLD=4 conjuncts","structural_catch (restrictor_collapse)","0.0","1.0000","0.8"
"P012","435","All of the students with part-time jobs offered by the university currently work in the library.","siv_canonical","folio_gold","restrictor_collapse","SIV=1 vs GOLD=3 conjuncts","structural_catch (restrictor_collapse)","0.0","0.9310","0.6"
"P013","140","The winner of the 1992 du Maurier Classic was Steinhauer.","folio_gold","siv_canonical","entity_flattening","WinnerOf: SIV arity=2, GOLD arity=3","structural_catch (entity_flattening)","0.0","0.7500","1.0"
"P014","441","All animal lovers are nice to animals.","folio_gold","siv_canonical","vocab_divergence_partial","moderate_overlap","high_bleu_siv_fail","0.0","0.9333","0.667"
